id,id_vuelo,aerolinea,origen,destino,precio,moneda,despegue,aterrizaje_local,estado_vuelo,capacidadAvion,tipoAvion
1,AR1302,Aerolineas Argentinas,EZE,MIA,750.50,USD,2025-02-18T12:30:00Z,2025-02-18T20:05:00-03:00,En hora,180,B737
2,LA621,LATAM,AEP,SCL,420.00,USD,2025-03-05T08:45:00Z,2025-03-05T11:30:00-03:00,En hora,174,A320
3,FO501,FlyBondi,EZE,MDZ,189.90,ARS,2025-02-01T07:15:00Z,2025-02-01T08:40:00-03:00,En hora,118,EMB190
4,AR2846,Aerolineas Argentinas,ROS,BRC,1120.30,USD,2025-07-10T06:20:00Z,2025-07-10T09:05:00-03:00,En hora,180,B737
5,G31021,GOL,MDZ,GRU,365.75,USD,2025-04-14T15:00:00Z,2025-04-14T19:20:00-03:00,En hora,214,A321
6,AR1710,Aerolineas Argentinas,COR,EZE,98.40,USD,2025-01-28T10:25:00Z,2025-01-28T11:45:00-03:00,En hora,180,B737
7,JJ8003,LATAM,SLA,RGL,654.10,USD,2025-08-02T09:10:00Z,2025-08-02T12:55:00-03:00,En hora,220,A321
8,IB6845,Iberia,EZE,MAD,1320.00,USD,2025-05-01T22:30:00Z,2025-05-02T12:10:00-03:00,En hora,314,A350
9,AZ681,ITA Airways,EZE,FCO,1180.00,USD,2025-04-01T20:15:00Z,2025-04-02T11:00:00-03:00,En hora,300,A330
10,UX042,Air Europa,EZE,MAD,1099.00,USD,2025-05-03T23:55:00Z,2025-05-04T14:30:00-03:00,En hora,302,B787
11,UY232,Aerolineas Argentinas,AEP,MVD,210.50,USD,2025-02-25T08:10:00Z,2025-02-25T09:20:00-03:00,En hora,180,B737
12,CM451,Copa Airlines,EZE,PTY,540.20,USD,2025-06-12T06:10:00Z,2025-06-12T11:45:00-03:00,En hora,174,B737MAX
