paymentId,reservationId,userId,status,amount,currency,updatedAt
PAY-8001,RSV-5001,u-1001,PAID,750.50,USD,2025-01-15T16:30:00Z
PAY-8002,RSV-5002,u-1044,FAILED,420.00,USD,2025-01-15T16:45:00Z
PAY-8003,RSV-5003,u-1112,PAID,189.90,ARS,2025-01-15T17:02:00Z
PAY-8004,RSV-5004,u-1150,PAID,1120.30,USD,2025-01-15T17:18:00Z
PAY-8005,RSV-5005,u-1203,PENDING,365.75,USD,2025-01-15T17:33:00Z
PAY-8006,RSV-5006,u-1225,PAID,98.40,USD,2025-01-15T17:49:00Z
PAY-8007,RSV-5007,u-1288,FAILED,654.10,USD,2025-01-15T18:05:00Z
PAY-8008,RSV-5008,u-1320,PAID,780.00,USD,2025-01-15T18:16:00Z
PAY-8009,RSV-5009,u-1399,PAID,210.50,USD,2025-01-15T18:27:00Z
PAY-8010,RSV-5010,u-1405,PENDING,540.20,USD,2025-01-15T18:41:00Z
PAY-8011,RSV-5011,u-1418,PAID,455.60,USD,2025-01-15T18:55:00Z
PAY-8012,RSV-5012,u-1444,FAILED,899.99,USD,2025-01-15T19:07:00Z
PAY-8013,RSV-5013,u-1455,PAID,320.00,USD,2025-01-15T19:21:00Z
PAY-8014,RSV-5014,u-1488,PAID,435.30,USD,2025-01-15T19:38:00Z
PAY-8015,RSV-5015,u-1490,PENDING,1185.00,USD,2025-01-15T19:52:00Z
